GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Senior,Prole,Cautious,Older,,EggShell,,Economy,,FiftyThou,False,Normal,True,Thousand,False,FiveThou,City,True,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adult,Middle,Adventurous,Older,,,,Economy,Normal,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Suburb,False,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adolescent,UpperMiddle,Cautious,Current,,,,,Poor,TwentyThou,True,SubStandard,False,Thousand,False,,Secure,True,Thousand,,True,Thousand,Excellent,True,Thousand,One
False,Adolescent,Prole,,,,EggShell,,Economy,Excellent,FiftyThou,False,Normal,False,Thousand,False,FiveThou,City,False,TenThou,Thousand,True,Thousand,Poor,False,,Zero
False,Senior,UpperMiddle,Cautious,Older,,EggShell,,SportsCar,Excellent,FiftyThou,True,Expert,True,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
False,Senior,Prole,Adventurous,Older,,EggShell,,Economy,Poor,TwentyThou,False,SubStandard,False,Thousand,False,TenThou,City,False,,Thousand,True,Thousand,Poor,False,Thousand,Many
False,,,Normal,Current,,Football,Mild,Economy,Normal,FiftyThou,False,,False,,False,TwentyThou,City,False,Thousand,Thousand,False,Thousand,Good,True,Thousand,
False,Adolescent,Prole,Adventurous,Older,,EggShell,Mild,Economy,Poor,TwentyThou,False,Normal,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,True,Thousand,,False,Thousand,Zero
False,Adult,UpperMiddle,Normal,Current,,EggShell,,SportsCar,Normal,FiftyThou,True,Normal,False,Thousand,False,TwentyThou,,True,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
False,Senior,Prole,Normal,Older,,EggShell,,Economy,Normal,TwentyThou,False,Normal,True,Thousand,False,FiveThou,Rural,False,TenThou,Thousand,False,Thousand,Fair,False,Thousand,
False,Adult,Middle,,Older,,Tank,,FamilySedan,Normal,,False,Normal,False,Thousand,False,TenThou,Suburb,False,Thousand,Thousand,True,Thousand,Excellent,False,Thousand,
False,Adult,Prole,Normal,Older,Mild,Football,Mild,FamilySedan,Excellent,Domino,False,,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,False,Thousand,,False,Thousand,Zero
False,,Middle,Adventurous,Current,,Football,,,Excellent,,False,Expert,False,Thousand,False,,,False,Thousand,Thousand,False,Thousand,Good,True,,
True,,UpperMiddle,Adventurous,,Moderate,Football,Moderate,,Poor,FiftyThou,False,SubStandard,False,HundredThou,False,TwentyThou,Suburb,False,HundredThou,Thousand,True,Thousand,Fair,True,Thousand,Many
False,,Middle,Adventurous,,Mild,,Moderate,FamilySedan,Poor,FiftyThou,False,SubStandard,False,TenThou,False,FiveThou,Suburb,False,,Thousand,True,Thousand,Good,False,Thousand,One
False,Adult,,Normal,,,Tank,,FamilySedan,Normal,FiftyThou,False,,False,Thousand,False,TenThou,Rural,True,TenThou,Thousand,True,Thousand,Excellent,False,,Zero
False,Adult,,Normal,Older,,Football,,,,FiveThou,False,SubStandard,False,Thousand,False,TenThou,City,False,TenThou,Thousand,True,Thousand,Excellent,True,Thousand,Many
False,,,Cautious,Current,,,,,Normal,TwentyThou,True,,True,Thousand,False,FiftyThou,Secure,True,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
True,Adolescent,UpperMiddle,,Current,Moderate,Football,Moderate,,Poor,,True,,False,HundredThou,False,,Secure,True,HundredThou,,True,,Excellent,True,Thousand,Many
False,Adult,Middle,,Current,Mild,Football,Mild,FamilySedan,,TwentyThou,False,SubStandard,False,Thousand,False,TwentyThou,Rural,True,TenThou,Thousand,True,,Good,True,Thousand,Zero
False,Adult,Middle,Cautious,Older,,Football,,FamilySedan,,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Secure,True,,Thousand,False,,Fair,False,Thousand,Zero
False,,Prole,,Older,,EggShell,,Economy,Excellent,,False,Expert,False,Thousand,False,TenThou,City,False,TenThou,,False,Thousand,Good,True,Thousand,Zero
False,,,Normal,Older,,Tank,Mild,FamilySedan,,FiftyThou,False,SubStandard,False,Thousand,False,FiveThou,,False,Thousand,Thousand,True,Thousand,,False,,Many
False,Adult,,Normal,Current,,Football,,FamilySedan,,FiftyThou,True,,False,,False,TwentyThou,Suburb,True,TenThou,,True,Thousand,Good,True,,Zero
False,,Prole,,Older,,EggShell,,Economy,Excellent,FiftyThou,False,Expert,False,,False,FiveThou,,True,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
True,Adolescent,UpperMiddle,,Current,Mild,Football,,FamilySedan,,FiftyThou,False,SubStandard,False,Thousand,False,TwentyThou,Suburb,False,TenThou,Thousand,True,Thousand,,True,Thousand,Many
False,Adult,UpperMiddle,Adventurous,Older,,Football,,Luxury,Excellent,Domino,False,,False,Thousand,False,TwentyThou,City,True,,,True,Thousand,Excellent,True,Thousand,Zero
False,Adult,Middle,Normal,Current,,Tank,,FamilySedan,Normal,FiftyThou,True,,False,Thousand,False,TwentyThou,Suburb,True,TenThou,Thousand,True,Thousand,Excellent,True,Thousand,Zero
False,Adult,Prole,Normal,Current,,EggShell,,,Poor,FiftyThou,False,SubStandard,False,Thousand,False,TenThou,,False,,Thousand,False,,Poor,True,Thousand,Many
False,Adult,Prole,Adventurous,Older,Severe,EggShell,Severe,Economy,Poor,TwentyThou,False,SubStandard,False,,False,TenThou,City,False,TenThou,Thousand,False,HundredThou,Poor,False,HundredThou,
False,Senior,Middle,Normal,,Mild,Tank,Moderate,FamilySedan,Poor,Domino,False,SubStandard,False,Thousand,False,FiveThou,Secure,True,,TenThou,True,Thousand,,False,Thousand,Many
False,Senior,,Cautious,Older,,Football,,FamilySedan,Excellent,FiveThou,False,Expert,True,Thousand,False,TenThou,Secure,True,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
False,,UpperMiddle,Normal,Older,,Football,,Luxury,Normal,FiftyThou,False,Normal,False,Thousand,False,,Suburb,True,TenThou,Thousand,True,Thousand,Excellent,True,Thousand,Zero
False,,UpperMiddle,Cautious,,,Football,,Luxury,Normal,,True,,True,,False,FiftyThou,Secure,True,Thousand,Thousand,True,Thousand,Good,True,,
False,,,Normal,Current,,EggShell,,SportsCar,Normal,TwentyThou,True,,False,Thousand,False,TwentyThou,Suburb,True,TenThou,Thousand,True,Thousand,Good,True,,Zero
False,,Prole,Normal,Older,,Football,,Economy,,TwentyThou,False,Expert,False,Thousand,False,FiveThou,City,True,Thousand,Thousand,True,,Fair,False,Thousand,Zero
