GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Senior,Prole,Cautious,Older,,EggShell,,Economy,Normal,FiftyThou,False,Normal,True,Thousand,False,FiveThou,,True,,Thousand,True,Thousand,Poor,False,Thousand,
False,,Middle,Adventurous,Older,,EggShell,,Economy,Normal,FiftyThou,False,,False,Thousand,False,FiveThou,Suburb,False,Thousand,Thousand,True,,Poor,False,Thousand,
False,Adolescent,UpperMiddle,,Current,,Football,,FamilySedan,Poor,TwentyThou,True,SubStandard,False,Thousand,False,TenThou,Secure,True,,Thousand,True,,Excellent,True,,One
False,Adolescent,Prole,Adventurous,,,EggShell,,Economy,Excellent,FiftyThou,False,Normal,False,Thousand,False,,City,False,,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Senior,UpperMiddle,Cautious,Older,,EggShell,,SportsCar,Excellent,FiftyThou,True,Expert,True,Thousand,False,FiveThou,,True,Thousand,Thousand,True,,Fair,False,Thousand,Zero
False,Senior,Prole,Adventurous,Older,,,,Economy,Poor,TwentyThou,False,,False,Thousand,False,,City,False,Thousand,Thousand,True,Thousand,Poor,False,,Many
False,,Prole,Normal,Current,Mild,Football,Mild,Economy,Normal,FiftyThou,False,Normal,False,Thousand,False,TwentyThou,,False,Thousand,,False,Thousand,Good,True,Thousand,Zero
False,Adolescent,Prole,Adventurous,Older,Mild,EggShell,Mild,Economy,Poor,TwentyThou,False,Normal,False,Thousand,False,,City,False,,Thousand,True,Thousand,Poor,False,,Zero
False,Adult,UpperMiddle,Normal,Current,,EggShell,,SportsCar,Normal,FiftyThou,True,Normal,False,Thousand,False,TwentyThou,Secure,True,Thousand,,True,,Good,True,Thousand,Zero
False,Senior,Prole,Normal,Older,,EggShell,,Economy,Normal,,False,Normal,True,Thousand,False,FiveThou,,False,,Thousand,False,,,False,Thousand,One
False,Adult,Middle,Adventurous,,,,,FamilySedan,Normal,,False,Normal,False,Thousand,False,TenThou,Suburb,False,Thousand,Thousand,True,Thousand,,False,Thousand,Zero
False,Adult,Prole,Normal,Older,Mild,Football,Mild,FamilySedan,Excellent,Domino,False,Expert,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,False,Thousand,Fair,False,Thousand,Zero
False,Adult,,Adventurous,Current,,Football,,Economy,,TwentyThou,False,Expert,False,Thousand,False,TenThou,Rural,False,Thousand,Thousand,False,Thousand,Good,True,,Zero
True,Adolescent,,Adventurous,,Moderate,,Moderate,Economy,Poor,FiftyThou,False,SubStandard,False,HundredThou,False,,Suburb,False,HundredThou,Thousand,True,Thousand,Fair,True,Thousand,Many
