GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Senior,Prole,Cautious,Older,,EggShell,,Economy,Normal,FiftyThou,False,,True,Thousand,False,FiveThou,City,True,Thousand,Thousand,True,Thousand,,False,,Zero
False,Adult,Middle,Adventurous,Older,,,,Economy,Normal,,False,,False,,False,FiveThou,Suburb,False,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adolescent,UpperMiddle,,Current,,,,FamilySedan,,TwentyThou,True,SubStandard,False,Thousand,False,TenThou,Secure,True,Thousand,,True,Thousand,Excellent,True,Thousand,One
False,,Prole,Adventurous,Older,,EggShell,,Economy,Excellent,FiftyThou,False,,False,Thousand,False,FiveThou,City,False,TenThou,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Senior,UpperMiddle,Cautious,Older,,EggShell,,SportsCar,Excellent,FiftyThou,True,Expert,True,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,True,,,False,Thousand,Zero
False,Senior,Prole,Adventurous,Older,,EggShell,,Economy,Poor,TwentyThou,False,SubStandard,False,Thousand,False,TenThou,City,False,,Thousand,True,Thousand,Poor,False,Thousand,Many
False,Adult,Prole,Normal,Current,Mild,Football,Mild,Economy,Normal,FiftyThou,False,Normal,False,Thousand,False,TwentyThou,City,False,Thousand,Thousand,False,Thousand,Good,True,Thousand,Zero
False,Adolescent,Prole,Adventurous,Older,Mild,EggShell,Mild,Economy,Poor,TwentyThou,False,Normal,False,Thousand,False,FiveThou,City,False,,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adult,UpperMiddle,Normal,Current,,EggShell,,SportsCar,Normal,FiftyThou,True,Normal,False,Thousand,False,TwentyThou,Secure,True,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
False,Senior,Prole,Normal,Older,,EggShell,,Economy,Normal,TwentyThou,False,Normal,True,Thousand,False,FiveThou,Rural,False,TenThou,Thousand,False,Thousand,Fair,False,Thousand,One
False,,Middle,Adventurous,Older,,Tank,,FamilySedan,Normal,FiftyThou,False,Normal,False,Thousand,False,TenThou,Suburb,False,Thousand,Thousand,True,,Excellent,False,Thousand,Zero
False,Adult,Prole,Normal,Older,Mild,Football,Mild,FamilySedan,,Domino,False,Expert,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,False,Thousand,Fair,False,Thousand,Zero
False,Adult,Middle,Adventurous,Current,,Football,,Economy,Excellent,,False,,False,Thousand,False,TenThou,Rural,False,Thousand,Thousand,False,Thousand,Good,True,,Zero
True,Adolescent,UpperMiddle,Adventurous,Current,Moderate,Football,Moderate,Economy,Poor,FiftyThou,False,SubStandard,False,,False,,Suburb,False,HundredThou,Thousand,True,Thousand,Fair,True,Thousand,Many
False,Adult,Middle,Adventurous,Older,Mild,Tank,Moderate,FamilySedan,Poor,FiftyThou,False,SubStandard,False,TenThou,False,FiveThou,Suburb,False,TenThou,Thousand,True,Thousand,Good,False,Thousand,One
False,Adult,,Normal,,,Tank,,,Normal,FiftyThou,False,Normal,False,Thousand,False,TenThou,Rural,True,TenThou,Thousand,True,Thousand,Excellent,False,Thousand,Zero
False,Adult,Prole,Normal,Older,,Football,,FamilySedan,Poor,FiveThou,False,SubStandard,False,,False,TenThou,City,False,TenThou,Thousand,True,Thousand,Excellent,True,Thousand,Many
False,Senior,UpperMiddle,Cautious,Current,,,,Luxury,Normal,,True,Normal,True,Thousand,False,FiftyThou,Secure,True,Thousand,Thousand,True,Thousand,,True,Thousand,Zero
True,Adolescent,UpperMiddle,Normal,,Moderate,Football,Moderate,Luxury,,TwentyThou,True,SubStandard,False,HundredThou,False,FiftyThou,Secure,True,,Thousand,True,Thousand,,True,Thousand,Many
False,Adult,Middle,Normal,Current,,Football,Mild,FamilySedan,Poor,TwentyThou,False,SubStandard,False,Thousand,False,TwentyThou,Rural,True,TenThou,Thousand,True,Thousand,Good,True,Thousand,Zero
False,Adult,Middle,Cautious,Older,,Football,,FamilySedan,Excellent,FiftyThou,False,,False,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,False,Thousand,Fair,False,,Zero
False,Adult,Prole,Normal,Older,,EggShell,,Economy,Excellent,,False,Expert,False,Thousand,False,,City,False,TenThou,Thousand,False,Thousand,Good,True,Thousand,Zero
