GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Senior,Prole,Cautious,Older,,,,Economy,Normal,FiftyThou,False,Normal,True,Thousand,False,FiveThou,City,True,Thousand,Thousand,True,,Poor,False,Thousand,Zero
False,Adult,Middle,Adventurous,Older,,EggShell,,Economy,Normal,FiftyThou,False,Normal,False,,False,,Suburb,False,,Thousand,True,Thousand,,False,Thousand,Zero
False,Adolescent,UpperMiddle,Cautious,,,Football,,,Poor,,True,SubStandard,False,,False,TenThou,,True,Thousand,Thousand,True,Thousand,,True,Thousand,One
False,,Prole,Adventurous,,,EggShell,,Economy,Excellent,FiftyThou,False,Normal,False,Thousand,False,FiveThou,,False,TenThou,Thousand,True,Thousand,Poor,False,,Zero
False,Senior,,Cautious,Older,,EggShell,,,Excellent,,True,Expert,True,Thousand,False,FiveThou,,True,,Thousand,True,Thousand,Fair,False,Thousand,Zero
False,Senior,Prole,,Older,,EggShell,,Economy,Poor,TwentyThou,False,,False,Thousand,False,TenThou,City,False,Thousand,Thousand,True,Thousand,,False,Thousand,Many
False,,Prole,Normal,Current,Mild,,Mild,,Normal,FiftyThou,False,Normal,False,,False,,City,False,Thousand,Thousand,False,Thousand,,True,Thousand,
False,Adolescent,,,Older,Mild,EggShell,Mild,,,,False,,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,True,Thousand,Poor,False,,Zero
False,Adult,UpperMiddle,Normal,Current,,,,SportsCar,Normal,,True,,False,Thousand,False,TwentyThou,Secure,True,Thousand,Thousand,True,Thousand,Good,True,,Zero
False,Senior,Prole,Normal,,,EggShell,,Economy,,,False,Normal,True,,False,,Rural,False,,Thousand,False,Thousand,Fair,False,,One
False,Adult,,,,,Tank,,FamilySedan,Normal,FiftyThou,False,Normal,False,Thousand,False,TenThou,,False,Thousand,,True,,Excellent,False,Thousand,Zero
False,,Prole,Normal,Older,Mild,Football,Mild,FamilySedan,Excellent,Domino,False,,False,,False,FiveThou,City,False,,,False,,Fair,False,,Zero
False,Adult,Middle,,Current,,Football,,Economy,,TwentyThou,False,Expert,False,,False,TenThou,Rural,False,Thousand,Thousand,False,Thousand,Good,True,,
True,Adolescent,UpperMiddle,Adventurous,,Moderate,Football,Moderate,Economy,Poor,,False,SubStandard,False,HundredThou,False,TwentyThou,Suburb,False,,Thousand,True,,Fair,True,,Many
False,Adult,Middle,Adventurous,,Mild,Tank,,,Poor,FiftyThou,False,SubStandard,False,TenThou,False,FiveThou,,False,TenThou,,True,,Good,False,Thousand,One
False,Adult,UpperMiddle,,Older,,Tank,,FamilySedan,,,False,Normal,False,Thousand,False,TenThou,Rural,True,TenThou,,True,Thousand,Excellent,False,Thousand,Zero
False,Adult,Prole,Normal,Older,,,,,Poor,,False,SubStandard,False,Thousand,False,TenThou,City,False,TenThou,,True,Thousand,Excellent,True,Thousand,Many
False,Senior,UpperMiddle,,,,Tank,,Luxury,Normal,TwentyThou,True,,True,Thousand,False,FiftyThou,Secure,True,Thousand,Thousand,True,Thousand,,True,Thousand,Zero
True,Adolescent,UpperMiddle,,Current,Moderate,,,Luxury,Poor,TwentyThou,True,SubStandard,False,HundredThou,False,,Secure,True,HundredThou,Thousand,True,Thousand,Excellent,True,Thousand,Many
False,Adult,Middle,Normal,Current,,Football,Mild,FamilySedan,Poor,TwentyThou,False,SubStandard,False,Thousand,False,TwentyThou,Rural,True,TenThou,Thousand,True,,,True,Thousand,Zero
False,Adult,,Cautious,Older,,Football,,,,FiftyThou,False,,False,Thousand,False,FiveThou,Secure,True,,Thousand,False,Thousand,Fair,False,Thousand,Zero
False,Adult,Prole,Normal,Older,,EggShell,,Economy,Excellent,TwentyThou,False,Expert,False,Thousand,False,TenThou,,False,TenThou,,False,,Good,True,Thousand,Zero
False,Adult,Middle,,Older,,Tank,,FamilySedan,Poor,FiftyThou,False,,False,Thousand,False,FiveThou,Suburb,False,Thousand,Thousand,True,Thousand,,False,Thousand,Many
False,Adult,Middle,Normal,Current,,,,FamilySedan,Normal,,True,Normal,False,Thousand,False,TwentyThou,Suburb,True,,Thousand,True,,,True,Thousand,Zero
False,Adult,Prole,Cautious,Older,,EggShell,,Economy,Excellent,FiftyThou,False,Expert,False,Thousand,False,FiveThou,City,True,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
True,Adolescent,,Adventurous,Current,,Football,Mild,,Poor,,False,SubStandard,False,,False,TwentyThou,,False,,,True,,,True,Thousand,Many
False,Adult,UpperMiddle,Adventurous,Older,,,,,Excellent,Domino,False,Normal,False,,False,TwentyThou,City,True,Thousand,,True,Thousand,Excellent,True,Thousand,Zero
False,Adult,Middle,Normal,Current,,,,FamilySedan,Normal,FiftyThou,True,Normal,False,Thousand,False,TwentyThou,Suburb,True,,Thousand,True,Thousand,,True,Thousand,Zero
False,Adult,Prole,,Current,,,,,,FiftyThou,False,SubStandard,False,Thousand,False,TenThou,City,False,,,False,Thousand,Poor,True,Thousand,Many
False,,Prole,Adventurous,,Severe,EggShell,,Economy,Poor,,False,SubStandard,False,TenThou,False,TenThou,City,False,,Thousand,False,HundredThou,,False,,Many
False,Senior,Middle,Normal,Older,Mild,,,,Poor,Domino,False,SubStandard,False,Thousand,False,FiveThou,Secure,True,TenThou,TenThou,True,Thousand,,False,Thousand,Many
False,Senior,,Cautious,,,,,FamilySedan,Excellent,FiveThou,False,,True,Thousand,False,TenThou,,True,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
False,Adult,UpperMiddle,Normal,Older,,,,,Normal,FiftyThou,False,Normal,False,Thousand,False,TenThou,Suburb,True,TenThou,Thousand,True,Thousand,Excellent,True,Thousand,
False,Senior,UpperMiddle,Cautious,Current,,,,Luxury,,TwentyThou,True,Normal,True,,False,FiftyThou,Secure,True,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
False,Adult,UpperMiddle,,Current,,EggShell,,SportsCar,,,True,,False,,False,TwentyThou,,True,TenThou,Thousand,True,,Good,True,Thousand,Zero
False,Senior,Prole,Normal,Older,,Football,,Economy,Excellent,TwentyThou,False,Expert,False,Thousand,False,FiveThou,,True,,Thousand,True,Thousand,Fair,False,Thousand,
False,Adult,Prole,Adventurous,,,EggShell,,,,TwentyThou,False,Normal,False,Thousand,False,,City,False,Thousand,,False,Thousand,Poor,False,Thousand,Zero
