GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Senior,Prole,Cautious,Older,,EggShell,,Economy,Normal,,False,Normal,True,Thousand,False,FiveThou,City,True,Thousand,,True,Thousand,Poor,False,Thousand,Zero
False,Adult,Middle,Adventurous,Older,,EggShell,,Economy,Normal,FiftyThou,False,Normal,False,Thousand,False,,Suburb,False,,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adolescent,UpperMiddle,Cautious,Current,,Football,,FamilySedan,Poor,TwentyThou,True,SubStandard,False,Thousand,False,TenThou,Secure,True,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,One
False,Adolescent,Prole,Adventurous,,,EggShell,,Economy,,FiftyThou,False,Normal,False,Thousand,False,FiveThou,City,False,TenThou,Thousand,True,Thousand,Poor,False,Thousand,
False,,UpperMiddle,Cautious,Older,,EggShell,,SportsCar,Excellent,,True,Expert,True,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,True,Thousand,Fair,False,,Zero
False,Senior,Prole,Adventurous,Older,,EggShell,,,Poor,TwentyThou,False,SubStandard,False,Thousand,False,,City,False,Thousand,Thousand,True,Thousand,Poor,False,Thousand,
False,Adult,Prole,,Current,Mild,Football,Mild,Economy,,,False,Normal,False,Thousand,False,,City,False,Thousand,Thousand,False,Thousand,Good,True,Thousand,Zero
False,Adolescent,Prole,Adventurous,Older,Mild,EggShell,Mild,Economy,Poor,TwentyThou,False,Normal,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adult,UpperMiddle,Normal,Current,,,,SportsCar,Normal,FiftyThou,True,Normal,False,,False,TwentyThou,Secure,True,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
False,Senior,Prole,Normal,Older,,EggShell,,Economy,Normal,,False,,True,,False,FiveThou,Rural,False,TenThou,Thousand,False,Thousand,Fair,False,,One
False,Adult,Middle,Adventurous,Older,,Tank,,FamilySedan,Normal,FiftyThou,False,Normal,False,Thousand,False,TenThou,Suburb,False,Thousand,Thousand,True,Thousand,Excellent,False,Thousand,
False,,Prole,Normal,Older,Mild,,Mild,FamilySedan,,Domino,False,Expert,False,Thousand,False,FiveThou,,False,Thousand,Thousand,False,Thousand,Fair,False,,Zero
False,,Middle,Adventurous,Current,,Football,,,Excellent,TwentyThou,False,Expert,False,Thousand,False,TenThou,Rural,False,Thousand,Thousand,False,Thousand,Good,True,,
True,Adolescent,UpperMiddle,Adventurous,Current,,Football,Moderate,Economy,Poor,FiftyThou,False,SubStandard,False,HundredThou,False,TwentyThou,,False,,Thousand,True,,Fair,True,,Many
False,,Middle,Adventurous,Older,Mild,Tank,,FamilySedan,Poor,,False,SubStandard,False,,False,FiveThou,Suburb,False,TenThou,Thousand,True,Thousand,,False,Thousand,One
False,Adult,UpperMiddle,Normal,Older,,Tank,,FamilySedan,Normal,,False,Normal,False,Thousand,False,TenThou,Rural,True,TenThou,Thousand,True,Thousand,Excellent,False,Thousand,Zero
False,Adult,Prole,,,,Football,,FamilySedan,Poor,FiveThou,False,SubStandard,False,Thousand,False,TenThou,City,False,TenThou,Thousand,True,Thousand,Excellent,True,,Many
False,,UpperMiddle,,Current,,Tank,,,Normal,TwentyThou,True,,True,Thousand,False,FiftyThou,,True,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,
True,Adolescent,UpperMiddle,Normal,,Moderate,Football,,,Poor,TwentyThou,True,,False,HundredThou,False,FiftyThou,Secure,True,HundredThou,Thousand,True,Thousand,Excellent,True,Thousand,Many
False,,Middle,Normal,Current,Mild,Football,,FamilySedan,Poor,,False,SubStandard,False,,False,TwentyThou,Rural,True,TenThou,Thousand,True,Thousand,Good,True,,Zero
