node_i,node_j,p_value
Akt,Erk,0.0
Akt,Jnk,0.31633103454111067
Akt,Mek,0.0004365767732677704
Akt,P38,0.07930449981888668
Akt,PIP2,0.99952722629845
Akt,PIP3,0.3404752952286162
Akt,PKA,9.561499706574835e-115
Akt,PKC,0.5208472339323416
Akt,Plcg,0.8676451118380837
Akt,Raf,0.6569579931358384
Erk,Jnk,0.2227089864724381
Erk,Mek,0.0
Erk,P38,0.733249005775316
Erk,PIP2,0.36680212941379575
Erk,PIP3,0.9695652868128638
Erk,PKA,1.5728304665800878e-244
Erk,PKC,0.3643913645621248
Erk,Plcg,0.7667393747594354
Erk,Raf,0.7136059559998256
Jnk,Mek,3.9278768665937075e-34
Jnk,P38,0.09346060405879111
Jnk,PIP2,0.9555530589503183
Jnk,PIP3,0.7247533477510077
Jnk,PKA,6.3349331378777e-311
Jnk,PKC,2.4172819756898493e-305
Jnk,Plcg,0.9490724381628572
Jnk,Raf,0.48020580340177166
Mek,P38,0.11536988370805842
Mek,PIP2,0.764737906017072
Mek,PIP3,0.5522309497726547
Mek,PKA,4.356365663459024e-224
Mek,PKC,1.7561079690921224e-132
Mek,Plcg,0.25913402275098746
Mek,Raf,0.0
P38,PIP2,0.49129412145946016
P38,PIP3,0.07993432858574313
P38,PKA,0.0
P38,PKC,1.1794471138781333e-174
P38,Plcg,0.413005323584942
P38,Raf,0.3295761345913118
PIP2,PIP3,2.4602198800740224e-77
PIP2,PKA,0.882714415245631
PIP2,PKC,0.34263867227624556
PIP2,Plcg,0.0
PIP2,Raf,0.3050586859438836
PIP3,PKA,0.3360599605672484
PIP3,PKC,0.720070015326089
PIP3,Plcg,2.0837363160993538e-220
PIP3,Raf,0.37913406125954424
PKA,PKC,0.0
PKA,Plcg,0.8088389722193766
PKA,Raf,2.5686016136673064e-202
PKC,Plcg,0.15727740009491592
PKC,Raf,4.1010175161179767e-216
Plcg,Raf,0.8167875661979275
