N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Down,Neutral,WeakUp,Down,Down,VeryWet,Wet,,Wet,PC,Cloudy,,Cloudy,,,StrongWest,,,,,IncCapDecIns,Increasing,,LittleChange,XNIL,Jul16_Aug10,H,CThruK,PartInhibit,LessThanAve,MoreThanAve,H,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,,Weak,Moderate,H,SVR,SIG,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,ModerateOrLe,,DryMMoistL,,SigNegative,,NWQuad,Westerly,SEQuad
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,VeryWet,Neutral,Wet,Clear,PC,,PC,,Weak,DCVZFavor,,Weak,Weak,,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul2_Jul15,B,AB,,LessThanAve,MoreThanAve,ABI,N5GtLIGt_8,Neutral,Average,Average,B,PartInhibit,Moderate,Slight,B,,,XNIL,LowAtStation,ModerateOrLe,Average,Steep,OtherRapid,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,LVorOther,SEQuad
StrongUp,WeakUp,WeakUp,,StrongUp,VeryWet,VeryWet,VeryWet,VeryWet,PC,,Clear,Clear,Strong,Strong,Other,,Strong,Strong,,DecCapIncIns,Decreasing,Neutral,Decreasing,SVR,Jul16_Aug10,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,Average,D,,Weak,,D,SIG,SIG,SVR,LowAtStation,Steep,Average,Steep,MarkedUpper,Other,,SigNegative,,NWQuad,,SEQuad
StrongUp,Down,StrongUp,StrongUp,StrongUp,Dry,Neutral,,VeryWet,PC,PC,Cloudy,Cloudy,Weak,Weak,Westerly,Weak,,,,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,HI,,Moderate,Moderate,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,StrongFront,DryMMoistL,E_W_S,PosToNeg,QStationary,LV,Westerly,
Down,Down,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,,Clear,Clear,Clear,Clear,Weak,Strong,Other,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,C,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,,Average,MoreUnstable,,,,,C,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,Westerly,LongAnticyc
Down,,WeakUp,Down,Down,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,Clear,Strong,Strong,Westerly,Strong,,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,,C,,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Neutral,Average,Average,ACEFK,,Moderate,Moderate,C,SVR,SVR,SVR,LowEvrywhere,,VeryMoist,Steep,MarkedUpper,MoistMDryL,E_W_N,,Other,,Westerly,LongAnticyc
WeakUp,Neutral,Down,Neutral,Neutral,Dry,Wet,Dry,Dry,,Cloudy,PC,PC,,,Westerly,,Strong,Weak,,LittleChange,LittleChange,WeakPos,Decreasing,,Aug20_Sep15,J,CThruK,PartInhibit,Average,Average,,N5GtLIGt_8,Stability,Average,LessUnstable,,Stifling,Weak,,J,XNIL,XNIL,XNIL,LowNHighS,ModerateOrLe,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,,LV,LVorOther,
,WeakUp,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Neutral,PC,PC,PC,PC,Strong,Strong,Westerly,,Weak,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,Aug20_Sep15,C,CThruK,PartInhibit,Average,MoreThanAve,,N1GtLIGt_4,Stability,LessUnstable,Average,ACEFK,PartInhibit,Weak,Slight,,,,SVR,LowEvrywhere,Steep,Dry,ModerateOrLe,MarkedUpper,Other,,NegToPos,Other,AllElse,Westerly,LongAnticyc
WeakUp,,Down,Neutral,Neutral,Wet,Neutral,VeryWet,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,,Weak,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jun15_Jul1,E,CThruK,PartInhibit,MoreThanAve,LessThanAve,CDEJ,LIGt0,Instability,MoreUnstable,Average,,,Moderate,Strong,E,SVR,SVR,SVR,,CloseToDryAd,Average,Steep,OtherRapid,,MovingFtorOt,SigNegative,,,Westerly,LV
Down,,Neutral,Neutral,Neutral,Neutral,Dry,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,Other,,,,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,,CDEJ,,Instability,,Average,,PartInhibit,Moderate,Moderate,D,XNIL,XNIL,,Other,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,Other,,SigPositive,,SWQuad,,
