N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Down,Neutral,,,,VeryWet,Wet,Wet,Wet,PC,Cloudy,Cloudy,Cloudy,,,StrongWest,,,,,,Increasing,Neutral,LittleChange,XNIL,Jul16_Aug10,H,CThruK,PartInhibit,LessThanAve,MoreThanAve,H,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,,Weak,,H,SVR,SIG,SIG,,ModerateOrLe,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,,SigNegative,,NWQuad,,SEQuad
WeakUp,,WeakUp,WeakUp,WeakUp,Dry,VeryWet,,Wet,Clear,PC,Clear,PC,Weak,,DCVZFavor,,Weak,Weak,,,,Neutral,LittleChange,XNIL,Jul2_Jul15,B,AB,,,MoreThanAve,ABI,N5GtLIGt_8,Neutral,Average,Average,B,PartInhibit,Moderate,Slight,,XNIL,XNIL,,LowAtStation,ModerateOrLe,Average,Steep,OtherRapid,MoistMDryL,,,,NWQuad,LVorOther,SEQuad
,WeakUp,WeakUp,StrongUp,StrongUp,,VeryWet,VeryWet,VeryWet,,Clear,Clear,Clear,Strong,Strong,Other,,Strong,Strong,,DecCapIncIns,Decreasing,Neutral,Decreasing,SVR,Jul16_Aug10,,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Instability,,Average,D,,,,D,,,SVR,LowAtStation,,Average,,,Other,,SigNegative,,NWQuad,LVorOther,SEQuad
,Down,StrongUp,StrongUp,StrongUp,,Neutral,,VeryWet,PC,PC,Cloudy,Cloudy,Weak,Weak,Westerly,Weak,,,,,Increasing,Neutral,Increasing,XNIL,,I,CThruK,PartInhibit,Average,MoreThanAve,,N1GtLIGt_4,Stability,,MoreUnstable,HI,,,Moderate,I,SVR,,,,,Dry,CloseToDryAd,StrongFront,DryMMoistL,E_W_S,PosToNeg,QStationary,LV,Westerly,LV
Down,,Neutral,Neutral,Neutral,Neutral,,VeryWet,VeryWet,Clear,,Clear,,,Strong,Other,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,,Increasing,,Jul16_Aug10,,CThruK,PartInhibit,LessThanAve,Average,CDEJ,,Neutral,Average,MoreUnstable,ACEFK,,,,,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,Average,Steep,,MoistMDryL,E_W_N,,Other,,Westerly,LongAnticyc
Down,,WeakUp,Down,Down,Wet,VeryWet,VeryWet,VeryWet,,Clear,PC,Clear,Strong,Strong,Westerly,,,,Some,,LittleChange,Neutral,LittleChange,,,C,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,,,Average,ACEFK,,Moderate,Moderate,C,,SVR,SVR,,Steep,VeryMoist,,MarkedUpper,MoistMDryL,E_W_N,SigPositive,,NWQuad,Westerly,LongAnticyc
WeakUp,Neutral,Down,Neutral,Neutral,,Wet,Dry,Dry,,Cloudy,PC,PC,,,Westerly,,,Weak,,LittleChange,,WeakPos,Decreasing,XNIL,Aug20_Sep15,J,,PartInhibit,Average,,CDEJ,N5GtLIGt_8,Stability,Average,LessUnstable,GJ,Stifling,Weak,,J,XNIL,XNIL,XNIL,LowNHighS,,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,,,LV,LVorOther,LongAnticyc
StrongUp,WeakUp,,Neutral,Neutral,Wet,,,Neutral,PC,PC,PC,PC,Strong,Strong,,,Weak,,Marked,IncCapDecIns,,,Increasing,SVR,Aug20_Sep15,C,CThruK,PartInhibit,Average,,CDEJ,N1GtLIGt_4,Stability,,,ACEFK,PartInhibit,Weak,,C,SIG,,SVR,LowEvrywhere,Steep,,ModerateOrLe,,Other,E_W_N,NegToPos,Other,AllElse,Westerly,LongAnticyc
WeakUp,Neutral,Down,,Neutral,Wet,,VeryWet,Neutral,Clear,Clear,Clear,Clear,,,StrongWest,,,,Some,DecCapIncIns,Decreasing,,Decreasing,SIG,Jun15_Jul1,,CThruK,PartInhibit,,,CDEJ,LIGt0,Instability,MoreUnstable,Average,ACEFK,,Moderate,Strong,E,,SVR,,LowSHighN,,Average,Steep,OtherRapid,MoistMDryL,MovingFtorOt,SigNegative,,SWQuad,Westerly,
,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,,Wet,Clear,,,Clear,Strong,,,,,,Some,,Decreasing,,Increasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,LessThanAve,,N5GtLIGt_8,Instability,LessUnstable,,,,,,,XNIL,XNIL,SIG,Other,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,Other,,SigPositive,QStationary,SWQuad,Westerly,WidespdDnsl
,Neutral,WeakUp,Neutral,Neutral,,VeryWet,Neutral,Neutral,PC,Cloudy,Cloudy,Cloudy,Weak,Weak,Westerly,,Weak,Weak,,IncCapDecIns,Increasing,StrongPos,Increasing,,May15_Jun14,I,CThruK,,Average,MoreThanAve,ABI,,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Moderate,,,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,,,NoMajor,DryMMoistL,Other,LittleChange,Moving,,LVorOther,LV
Neutral,,Neutral,Down,,Wet,,Neutral,Dry,Clear,Clear,Clear,,,,Westerly,,,,,LittleChange,,,Decreasing,,,B,,,LessThanAve,LessThanAve,ABI,,Instability,LessUnstable,LessUnstable,,Stifling,Unfavorable,,B,SIG,SIG,SIG,LowMtsHighPl,Steep,Average,,NoMajor,DryMMoistL,DenvCyclone,LittleChange,,,LVorOther,
Neutral,Neutral,StrongUp,,,Dry,,Wet,,Clear,PC,Clear,Clear,,Strong,StrongWest,Strong,Weak,Strong,,LittleChange,,StrongPos,Increasing,SVR,Jul16_Aug10,,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,Average,,PartInhibit,Moderate,,B,XNIL,XNIL,SVR,LowEvrywhere,,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,DenvCyclone,,Other,LV,,
StrongUp,,WeakUp,WeakUp,WeakUp,Wet,Neutral,Wet,,PC,Clear,PC,PC,,Strong,Westerly,Strong,Strong,Strong,Marked,LittleChange,LittleChange,StrongPos,,SVR,May15_Jun14,K,CThruK,PartInhibit,Average,,K,LIGt0,Neutral,,MoreUnstable,,PartInhibit,Strong,Moderate,K,XNIL,,,,ModerateOrLe,Dry,,StrongFront,DryMMoistL,,SigNegative,,NWQuad,Westerly,
WeakUp,Neutral,Down,WeakUp,WeakUp,VeryWet,,VeryWet,,Clear,,Clear,Clear,,Weak,Westerly,Weak,,,Some,,Decreasing,,Decreasing,SIG,Aug20_Sep15,,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,,Average,LessUnstable,D,,Weak,Moderate,D,SIG,SIG,SIG,HighEvrywher,CloseToDryAd,Average,Steep,StrongFront,Other,DenvCyclone,NegToPos,Other,AllElse,LVorOther,
Neutral,Down,Neutral,Neutral,Neutral,,Neutral,Neutral,Wet,PC,PC,PC,PC,Weak,Strong,Other,,,,,DecCapIncIns,Decreasing,WeakPos,,,May15_Jun14,H,CThruK,,Average,,H,N1GtLIGt_4,Stability,Average,Average,HI,,Strong,,H,XNIL,XNIL,SIG,,ModerateOrLe,,Steep,,DryMMoistL,,SigNegative,,LV,LVorOther,E_NE
WeakUp,,Neutral,,,,Neutral,Neutral,Neutral,Cloudy,,PC,,,,Other,,,,,LittleChange,LittleChange,WeakPos,Increasing,XNIL,May15_Jun14,K,CThruK,,LessThanAve,LessThanAve,,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,,Strong,,,,SIG,SIG,,Steep,,ModerateOrLe,StrongFront,Other,MovingFtorOt,PosToNeg,Moving,AllElse,Westerly,WidespdDnsl
Down,,Neutral,,Neutral,Dry,Dry,VeryWet,VeryWet,PC,PC,,Clear,,,StrongWest,Strong,Weak,,,,Decreasing,WeakPos,Increasing,XNIL,May15_Jun14,A,,PartInhibit,LessThanAve,,ABI,LIGt0,,,,,,Unfavorable,,A,SVR,,SVR,,Stable,,,StrongFront,,DenvCyclone,SigNegative,Other,SWQuad,LVorOther,DenvCyclone
StrongUp,Neutral,Down,,Neutral,Wet,Dry,,Dry,Clear,,PC,PC,Strong,Strong,StrongWest,,,Strong,Marked,DecCapIncIns,Decreasing,,Decreasing,,Jul2_Jul15,K,CThruK,,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,,,MoreUnstable,,PartInhibit,Weak,Slight,K,,SVR,SVR,HighEvrywher,ModerateOrLe,Average,,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,Other,AllElse,LVorOther,WidespdDnsl
,,Neutral,WeakUp,WeakUp,Neutral,,Wet,Wet,Cloudy,,,PC,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,,Increasing,WeakPos,Increasing,,Aug20_Sep15,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,,ACEFK,Stifling,,,C,XNIL,XNIL,XNIL,LowAtStation,Steep,,ModerateOrLe,,MoistMDryL,E_W_N,LittleChange,,SWQuad,Westerly,LongAnticyc
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,,,PC,Clear,Clear,,,StrongWest,,,,,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,,,AB,,LessThanAve,LessThanAve,ABI,LILt_8,,Average,MoreUnstable,,,Moderate,Moderate,,SVR,SVR,,HighEvrywher,,,Steep,NoMajor,DryMMoistL,DenvCyclone,,QStationary,SWQuad,,DenvCyclone
