N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
,Neutral,WeakUp,Down,Down,VeryWet,Wet,Wet,Wet,PC,Cloudy,Cloudy,Cloudy,,,StrongWest,,,,,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul16_Aug10,,CThruK,PartInhibit,LessThanAve,MoreThanAve,H,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,,Weak,Moderate,H,SVR,SIG,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,,MarkedUpper,DryMMoistL,,SigNegative,,NWQuad,Westerly,SEQuad
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,VeryWet,Neutral,Wet,Clear,PC,Clear,PC,,Weak,DCVZFavor,,,Weak,,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,,,AB,,LessThanAve,MoreThanAve,ABI,N5GtLIGt_8,Neutral,Average,Average,,PartInhibit,Moderate,Slight,B,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,Average,Steep,OtherRapid,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,LVorOther,SEQuad
,WeakUp,WeakUp,StrongUp,StrongUp,VeryWet,VeryWet,VeryWet,VeryWet,PC,,Clear,Clear,Strong,Strong,Other,,,Strong,,DecCapIncIns,Decreasing,,Decreasing,SVR,Jul16_Aug10,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,,MoreUnstable,Average,D,,,,D,SIG,SIG,SVR,LowAtStation,Steep,Average,Steep,,Other,,SigNegative,,NWQuad,LVorOther,SEQuad
StrongUp,Down,StrongUp,StrongUp,StrongUp,Dry,,VeryWet,,PC,PC,Cloudy,Cloudy,,,Westerly,Weak,,,,,Increasing,Neutral,Increasing,XNIL,Aug20_Sep15,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,,,Moderate,Moderate,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,StrongFront,DryMMoistL,E_W_S,PosToNeg,QStationary,LV,Westerly,
Down,Down,Neutral,,Neutral,Neutral,VeryWet,VeryWet,VeryWet,Clear,,Clear,Clear,Weak,,Other,Weak,,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,C,CThruK,PartInhibit,LessThanAve,Average,CDEJ,,Neutral,Average,MoreUnstable,ACEFK,,Moderate,Strong,C,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,Westerly,LongAnticyc
Down,Neutral,WeakUp,Down,Down,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,Clear,Strong,Strong,Westerly,Strong,,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul2_Jul15,C,CThruK,TotalInhibit,MoreThanAve,,CDEJ,N5GtLIGt_8,Neutral,Average,Average,ACEFK,,Moderate,Moderate,C,SVR,SVR,SVR,LowEvrywhere,Steep,VeryMoist,Steep,MarkedUpper,MoistMDryL,,SigPositive,Other,NWQuad,Westerly,
WeakUp,Neutral,,Neutral,Neutral,Dry,Wet,Dry,Dry,Clear,,PC,PC,,,Westerly,,Strong,Weak,,LittleChange,LittleChange,WeakPos,Decreasing,XNIL,Aug20_Sep15,J,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,Average,LessUnstable,GJ,Stifling,Weak,,J,XNIL,,,LowNHighS,ModerateOrLe,,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,,LV,LVorOther,LongAnticyc
StrongUp,WeakUp,,Neutral,Neutral,Wet,Neutral,Neutral,,PC,PC,PC,PC,Strong,Strong,Westerly,,Weak,Weak,,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,Aug20_Sep15,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,,ACEFK,PartInhibit,Weak,Slight,C,SIG,,SVR,LowEvrywhere,Steep,Dry,ModerateOrLe,MarkedUpper,,,NegToPos,Other,AllElse,,LongAnticyc
WeakUp,Neutral,Down,,,,Neutral,VeryWet,Neutral,Clear,Clear,,Clear,Strong,Strong,StrongWest,Strong,,,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jun15_Jul1,E,CThruK,PartInhibit,,LessThanAve,CDEJ,LIGt0,Instability,,Average,ACEFK,,Moderate,Strong,E,,SVR,,LowSHighN,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,MovingFtorOt,,,SWQuad,Westerly,LV
Down,Neutral,Neutral,Neutral,Neutral,,Dry,Wet,Wet,,,Clear,Clear,Strong,Strong,Other,,,,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,SIG,Aug20_Sep15,D,,PartInhibit,Average,,CDEJ,N5GtLIGt_8,Instability,LessUnstable,Average,D,PartInhibit,Moderate,Moderate,D,XNIL,XNIL,SIG,,,Average,CloseToDryAd,MarkedUpper,Other,,SigPositive,QStationary,SWQuad,Westerly,WidespdDnsl
Neutral,Neutral,WeakUp,,Neutral,Dry,VeryWet,,Neutral,PC,Cloudy,Cloudy,,Weak,Weak,Westerly,,,,,,Increasing,StrongPos,,XNIL,May15_Jun14,I,CThruK,,Average,MoreThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Moderate,,,SIG,SIG,SIG,LowMtsHighPl,,Average,Steep,NoMajor,DryMMoistL,,LittleChange,Moving,AllElse,LVorOther,LV
,Down,Neutral,Down,Down,Wet,Neutral,Neutral,Dry,,Clear,Clear,Clear,,,,,Weak,,,LittleChange,LittleChange,,Decreasing,,May15_Jun14,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,B,,Unfavorable,,,SIG,,SIG,LowMtsHighPl,Steep,Average,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,,,LVorOther,DenvCyclone
Neutral,Neutral,StrongUp,WeakUp,WeakUp,Dry,Neutral,Wet,Neutral,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Strong,Some,LittleChange,,StrongPos,,SVR,Jul16_Aug10,,AB,PartInhibit,LessThanAve,,,N1GtLIGt_4,Neutral,LessUnstable,Average,B,,Moderate,,B,XNIL,XNIL,SVR,LowEvrywhere,Stable,VeryMoist,,MarkedUpper,DryMMoistL,DenvCyclone,PosToNeg,Other,LV,Westerly,DenvCyclone
,Neutral,,WeakUp,WeakUp,Wet,Neutral,,VeryWet,PC,Clear,,,Strong,Strong,Westerly,Strong,Strong,Strong,Marked,LittleChange,LittleChange,StrongPos,Increasing,SVR,May15_Jun14,K,CThruK,PartInhibit,Average,Average,,LIGt0,Neutral,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Strong,Moderate,K,XNIL,,SVR,LowSHighN,ModerateOrLe,Dry,ModerateOrLe,StrongFront,,MovingFtorOt,SigNegative,Moving,NWQuad,Westerly,WidespdDnsl
WeakUp,Neutral,,WeakUp,WeakUp,VeryWet,Neutral,,VeryWet,Clear,,Clear,,,Weak,,Weak,,Weak,Some,DecCapIncIns,Decreasing,Negative,Decreasing,,Aug20_Sep15,D,CThruK,PartInhibit,Average,,,N5GtLIGt_8,Stability,Average,LessUnstable,D,,Weak,Moderate,,,SIG,SIG,HighEvrywher,CloseToDryAd,,Steep,StrongFront,,DenvCyclone,NegToPos,Other,AllElse,LVorOther,DenvCyclone
