N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
,,WeakUp,Down,Down,,Wet,Wet,Wet,PC,Cloudy,Cloudy,Cloudy,,,StrongWest,,,,,IncCapDecIns,Increasing,Neutral,,XNIL,,H,CThruK,PartInhibit,LessThanAve,MoreThanAve,H,N5GtLIGt_8,Instability,,MoreUnstable,HI,,,Moderate,H,SVR,SIG,SIG,LowMtsHighPl,,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,,SigNegative,,NWQuad,,SEQuad
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,VeryWet,Neutral,Wet,,,Clear,PC,Weak,,DCVZFavor,,Weak,Weak,,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul2_Jul15,B,,,LessThanAve,MoreThanAve,,N5GtLIGt_8,Neutral,Average,Average,B,,Moderate,Slight,B,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,,Steep,OtherRapid,MoistMDryL,,LittleChange,Other,,LVorOther,
StrongUp,,WeakUp,StrongUp,,VeryWet,VeryWet,VeryWet,VeryWet,,,Clear,Clear,,,,,,Strong,,,Decreasing,Neutral,Decreasing,SVR,Jul16_Aug10,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,Average,D,,Weak,,D,SIG,SIG,SVR,LowAtStation,Steep,Average,Steep,MarkedUpper,Other,,SigNegative,,,LVorOther,SEQuad
StrongUp,Down,StrongUp,StrongUp,StrongUp,Dry,Neutral,VeryWet,VeryWet,PC,PC,,Cloudy,Weak,Weak,,Weak,,,,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,,,MoreUnstable,,,Moderate,Moderate,,SVR,SVR,,LowSHighN,,Dry,CloseToDryAd,,,E_W_S,PosToNeg,,LV,Westerly,LV
Down,Down,Neutral,,Neutral,Neutral,,,,Clear,,Clear,Clear,Weak,Strong,Other,,,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,,CThruK,PartInhibit,LessThanAve,Average,,N1GtLIGt_4,Neutral,Average,,ACEFK,,Moderate,Strong,C,SIG,SIG,,LowMtsHighPl,,Average,Steep,OtherRapid,,E_W_N,LittleChange,Other,NWQuad,Westerly,
Down,Neutral,,Down,,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,,Strong,Strong,Westerly,,,Weak,Some,LittleChange,LittleChange,Neutral,,SIG,Jul2_Jul15,C,,TotalInhibit,MoreThanAve,MoreThanAve,,N5GtLIGt_8,Neutral,,,,,Moderate,Moderate,,SVR,SVR,SVR,LowEvrywhere,Steep,VeryMoist,,MarkedUpper,,E_W_N,SigPositive,,,Westerly,LongAnticyc
WeakUp,Neutral,Down,Neutral,Neutral,Dry,,Dry,,,,PC,PC,,,,,Strong,,,LittleChange,,WeakPos,Decreasing,XNIL,Aug20_Sep15,J,CThruK,,Average,,,,,Average,LessUnstable,GJ,Stifling,Weak,,,,XNIL,XNIL,LowNHighS,ModerateOrLe,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,,LV,,LongAnticyc
StrongUp,WeakUp,,Neutral,Neutral,,Neutral,,Neutral,PC,PC,PC,PC,Strong,Strong,Westerly,,Weak,Weak,,IncCapDecIns,Increasing,StrongPos,Increasing,,,C,,PartInhibit,Average,MoreThanAve,,,,,Average,ACEFK,PartInhibit,Weak,Slight,C,SIG,,SVR,LowEvrywhere,Steep,Dry,ModerateOrLe,MarkedUpper,,E_W_N,NegToPos,,AllElse,Westerly,
WeakUp,,,,,Wet,Neutral,VeryWet,Neutral,,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,,,Some,,Decreasing,Negative,,,Jun15_Jul1,,,,MoreThanAve,LessThanAve,CDEJ,,,,Average,ACEFK,,Moderate,Strong,E,,SVR,SVR,,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,MovingFtorOt,,,SWQuad,Westerly,LV
Down,Neutral,,,,,Dry,Wet,,,Clear,,Clear,Strong,Strong,Other,,,,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,,Aug20_Sep15,,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,,LessUnstable,,D,PartInhibit,,Moderate,D,XNIL,,SIG,Other,ModerateOrLe,Average,,,Other,,,QStationary,,Westerly,
