N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Down,Neutral,WeakUp,Down,Down,VeryWet,Wet,Wet,Wet,,,,Cloudy,,,StrongWest,,,,,,Increasing,,LittleChange,XNIL,Jul16_Aug10,H,,PartInhibit,LessThanAve,MoreThanAve,H,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,,,Weak,Moderate,H,,SIG,,LowMtsHighPl,,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,,SigNegative,,,Westerly,SEQuad
WeakUp,Neutral,WeakUp,WeakUp,,Dry,VeryWet,Neutral,,Clear,PC,Clear,PC,Weak,Weak,DCVZFavor,,,Weak,,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul2_Jul15,B,AB,,,MoreThanAve,,N5GtLIGt_8,Neutral,Average,Average,,,Moderate,Slight,,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,,Steep,OtherRapid,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,LVorOther,SEQuad
,,WeakUp,StrongUp,StrongUp,VeryWet,,VeryWet,VeryWet,,,,,Strong,,Other,,Strong,,,DecCapIncIns,Decreasing,Neutral,,SVR,Jul16_Aug10,,CThruK,PartInhibit,,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,Average,,,Weak,,D,SIG,SIG,SVR,LowAtStation,,Average,,MarkedUpper,Other,,SigNegative,,NWQuad,LVorOther,SEQuad
StrongUp,Down,StrongUp,StrongUp,StrongUp,Dry,,,VeryWet,PC,,Cloudy,Cloudy,,,Westerly,Weak,,,,,Increasing,Neutral,Increasing,,Aug20_Sep15,I,,PartInhibit,Average,MoreThanAve,ABI,,Stability,LessUnstable,MoreUnstable,,,Moderate,Moderate,,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,StrongFront,DryMMoistL,E_W_S,,QStationary,LV,Westerly,LV
Down,Down,Neutral,,,Neutral,VeryWet,VeryWet,VeryWet,Clear,,,Clear,Weak,Strong,Other,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,C,,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,,Moderate,Strong,C,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,Westerly,LongAnticyc
,Neutral,WeakUp,Down,Down,Wet,VeryWet,VeryWet,,PC,Clear,,,Strong,Strong,Westerly,Strong,,Weak,Some,LittleChange,LittleChange,,,SIG,Jul2_Jul15,C,CThruK,TotalInhibit,MoreThanAve,,CDEJ,N5GtLIGt_8,Neutral,,Average,ACEFK,,Moderate,Moderate,C,,SVR,SVR,LowEvrywhere,Steep,VeryMoist,,MarkedUpper,MoistMDryL,E_W_N,,Other,NWQuad,Westerly,LongAnticyc
,Neutral,Down,Neutral,Neutral,Dry,Wet,Dry,,,Cloudy,PC,PC,,,Westerly,,Strong,Weak,,LittleChange,LittleChange,WeakPos,Decreasing,XNIL,Aug20_Sep15,J,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,,Average,LessUnstable,GJ,Stifling,Weak,,J,XNIL,XNIL,XNIL,LowNHighS,ModerateOrLe,,CloseToDryAd,NoMajor,MoistMDryL,,LittleChange,,LV,LVorOther,LongAnticyc
StrongUp,WeakUp,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,PC,,PC,,Strong,Strong,Westerly,,Weak,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,,,CThruK,PartInhibit,Average,MoreThanAve,,,,LessUnstable,Average,ACEFK,PartInhibit,Weak,Slight,C,SIG,SIG,SVR,LowEvrywhere,Steep,,ModerateOrLe,MarkedUpper,Other,E_W_N,,Other,AllElse,,LongAnticyc
WeakUp,,,Neutral,Neutral,,Neutral,VeryWet,,Clear,,,Clear,Strong,Strong,StrongWest,Strong,,Weak,,DecCapIncIns,Decreasing,,Decreasing,SIG,Jun15_Jul1,,,,MoreThanAve,,,,Instability,MoreUnstable,Average,ACEFK,,Moderate,Strong,,SVR,SVR,SVR,,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,MovingFtorOt,,,SWQuad,Westerly,LV
Down,Neutral,Neutral,Neutral,,,,,Wet,Clear,Clear,,Clear,Strong,Strong,,,,,Some,DecCapIncIns,Decreasing,,Increasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Instability,,Average,D,PartInhibit,,Moderate,D,XNIL,XNIL,SIG,Other,ModerateOrLe,Average,,,Other,,,,SWQuad,Westerly,WidespdDnsl
