node_i,node_j,p_value
Accident,Airbag,0.7265880365408794
Accident,AntiTheft,0.20832361971379357
Accident,Antilock,0.054317082012968344
Accident,CarValue,0.4026942321135758
Accident,Cushioning,0.05655115486079482
Accident,DrivHist,0.8930541587729648
Accident,DrivQuality,0.2414374621619215
Accident,DrivingSkill,0.09747742645535541
Accident,HomeBase,0.06295158834271715
Accident,ILiCost,0.06402303807882993
Accident,MakeModel,0.10839090045742057
Accident,MedCost,0.999999999985382
Accident,Mileage,0.07441164892488276
Accident,OtherCar,0.3482323136053107
Accident,OtherCarCost,3.622196603686602e-133
Accident,PropCost,0.9946968876615829
Accident,SeniorTrain,0.098191141964967
Accident,Theft,0.08189149211033049
Accident,ThisCarCost,0.9997275387048395
Age,Accident,0.2752593483982395
Age,Airbag,0.6089066821487674
Age,AntiTheft,0.18156857288278633
Age,Antilock,0.06117081676901019
Age,CarValue,0.5327032902087099
Age,Cushioning,0.12153142454689969
Age,DrivHist,0.9196018638857476
Age,DrivQuality,0.36405568643975206
Age,DrivingSkill,0.39848914187551604
Age,HomeBase,0.7992071537291003
Age,ILiCost,0.9272811799060838
Age,MakeModel,0.13491470941381914
Age,MedCost,0.24348780842900866
Age,Mileage,0.687006299998514
Age,OtherCar,0.2361279852122597
Age,OtherCarCost,0.0965575361948838
Age,PropCost,0.12702016123759166
Age,RiskAversion,3.476956085770912e-34
Age,RuggedAuto,0.14911348489231016
Age,SeniorTrain,1.7894077808890667e-118
Age,SocioEcon,2.389424792655238e-13
Age,Theft,0.3652011891891543
Age,ThisCarCost,0.08350005960095834
Age,ThisCarDam,0.0822677838287018
Age,VehicleYear,0.36819737833638966
Airbag,DrivHist,0.17844688022978764
Airbag,ILiCost,0.7897181416460582
AntiTheft,Airbag,0.06769069603509242
AntiTheft,Cushioning,0.32404697515556496
AntiTheft,DrivHist,0.05469229365228226
AntiTheft,ILiCost,0.1425576324757918
AntiTheft,MedCost,0.19605548691017644
AntiTheft,OtherCar,0.8570701599749324
AntiTheft,OtherCarCost,0.12135747659418075
AntiTheft,PropCost,0.1719330417707019
Antilock,Airbag,0.2653420845201282
Antilock,AntiTheft,0.1256449370158543
