HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,True,,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,True,NORMAL,False,LOW,False,HIGH,,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,True,False,LOW,NORMAL,False,LOW,NORMAL,LOW,LOW,NORMAL,False,HIGH,ONESIDED,,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,HIGH,HIGH,LOW,LOW
False,,HIGH,True,HIGH,False,LOW,True,NORMAL,NORMAL,True,NORMAL,False,False,NORMAL,LOW,False,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,HIGH,HIGH,True,HIGH,False,,False,HIGH,HIGH,False,HIGH,False,False,HIGH,,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,False,False,NORMAL,LOW,True,ZERO,LOW,LOW,LOW,NORMAL,False,NORMAL,,ZERO,False,HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,,False,LOW,LOW,False,LOW,False,False,HIGH,LOW,True,,NORMAL,LOW,,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,
